"Data","NomeMunicipio","CodigoMunicipio","Casos_Circ","Casos_Resp","Obitos_Circ","Obitos_Resp","Ano","CO","PM2p5","Temperatura","UmidRel"
2015-01-01,"São Paulo - SP",355030,118,94,20,14,2015,307.764878471062,49.2370908489193,26.4448486328125,65.2366036879278
2015-01-02,"São Paulo - SP",355030,103,123,6,12,2015,207.489141719937,30.1705925428071,26.3071838378906,68.134550534903
2015-01-03,"São Paulo - SP",355030,113,87,12,18,2015,199.023328188256,24.7552568074146,23.5609680175781,87.7537262100637
2015-01-04,"São Paulo - SP",355030,106,95,14,7,2015,132.567204029025,13.4357369674376,23.2095886230469,83.6756034811552
2015-01-05,"São Paulo - SP",355030,186,104,11,10,2015,159.130422616727,16.2518170772804,22.4795471191406,85.7277871738102
2015-01-06,"São Paulo - SP",355030,192,111,17,16,2015,149.05999516183,13.3591158875864,23.3677307128906,81.9697430755797
2015-01-07,"São Paulo - SP",355030,209,110,11,14,2015,201.004269229088,26.9683582132529,24.2985473632813,74.1307946076413
2015-01-08,"São Paulo - SP",355030,198,111,12,8,2015,252.092410354029,28.0815217005663,24.753076171875,70.2706748902578
2015-01-09,"São Paulo - SP",355030,162,94,10,10,2015,327.696729603607,36.3363910812116,26.7553039550781,66.739530112485
2015-01-10,"São Paulo - SP",355030,111,74,7,12,2015,413.042054484928,52.2242350105747,26.6612487792969,68.5907798023072
2015-01-11,"São Paulo - SP",355030,127,64,13,8,2015,349.266760698204,36.1250431050545,26.4602294921875,74.7462381175101
2015-01-12,"São Paulo - SP",355030,182,104,18,13,2015,357.882280847358,31.82219939409,26.0569396972656,73.2479219654816
2015-01-13,"São Paulo - SP",355030,180,103,21,10,2015,332.038297301551,32.3455460934004,26.0665832519531,74.8418591912356
2015-01-14,"São Paulo - SP",355030,206,97,14,13,2015,285.83181688191,24.5064111226156,25.5361267089844,74.981719522211
2015-01-15,"São Paulo - SP",355030,157,115,12,10,2015,331.595051269081,36.6327892464824,25.3950744628906,77.261759087355
2015-01-16,"São Paulo - SP",355030,147,85,12,7,2015,231.954165504552,21.3497385696352,25.7195373535156,75.805106613941
2015-01-17,"São Paulo - SP",355030,111,70,14,9,2015,210.313454355552,21.2478932226645,27.1229797363281,66.8998347452704
2015-01-18,"São Paulo - SP",355030,121,79,9,5,2015,294.328799554933,31.0951140392035,26.9636779785156,70.1855541333092
2015-01-19,"São Paulo - SP",355030,216,111,15,16,2015,222.505766108346,27.3437651780265,26.6286560058594,69.593306277853
2015-01-20,"São Paulo - SP",355030,173,123,18,10,2015,188.098316774206,20.3409046643325,26.2801147460938,68.6677029101667
2015-01-21,"São Paulo - SP",355030,161,82,5,13,2015,186.987051620235,24.5305450026952,24.3666320800781,73.9613263473863
2015-01-22,"São Paulo - SP",355030,162,93,14,4,2015,111.103633552527,10.8345020362795,21.9069763183594,81.9975278429241
2015-01-23,"São Paulo - SP",355030,130,96,10,6,2015,85.1516723798795,13.2985616592881,21.4329772949219,82.8838328363662
2015-01-24,"São Paulo - SP",355030,100,80,7,6,2015,88.2940298652102,11.0380475130493,22.6805969238281,78.6162944481968
2015-01-25,"São Paulo - SP",355030,111,68,15,9,2015,128.085036503004,14.4532134408829,23.9663024902344,68.8577346260883
2015-01-26,"São Paulo - SP",355030,186,79,11,8,2015,247.201375221569,29.2083708330892,23.1348815917969,78.6016673839141
2015-01-27,"São Paulo - SP",355030,181,109,13,8,2015,266.965912487649,35.663947054824,24.071923828125,75.5708712775816
2015-01-28,"São Paulo - SP",355030,174,93,18,8,2015,268.712914438159,32.0041107689425,25.3339782714844,70.6937725701807
2015-01-29,"São Paulo - SP",355030,191,86,14,8,2015,200.653322697993,19.0104915513227,25.1696716308594,70.5941734531865
2015-01-30,"São Paulo - SP",355030,155,74,10,7,2015,177.673740608952,20.659107017688,23.0915466308594,80.5878875507105
2015-01-31,"São Paulo - SP",355030,81,53,7,7,2015,83.500526197137,10.67431150877,21.9950500488281,84.3658915516164
2015-02-01,"São Paulo - SP",355030,117,89,11,9,2015,76.7673557315144,10.6058661112722,23.3725219726563,81.5437119816518
2015-02-02,"São Paulo - SP",355030,200,96,13,5,2015,113.114689762976,10.8109243039204,22.1804748535156,86.5457763962058
2015-02-03,"São Paulo - SP",355030,206,109,16,8,2015,160.855748276845,21.5676093281066,22.5086608886719,79.5792050790224
2015-02-04,"São Paulo - SP",355030,276,103,16,8,2015,148.625431961591,16.6012254313822,21.6885314941406,84.566061991069
2015-02-05,"São Paulo - SP",355030,197,101,16,7,2015,229.26608759614,31.0934407110608,20.3877502441406,89.7019309436495
2015-02-06,"São Paulo - SP",355030,158,91,10,12,2015,149.393883930315,10.4070482602007,20.2733093261719,84.759181861413
2015-02-07,"São Paulo - SP",355030,93,82,12,9,2015,116.052300806283,14.5535678323464,21.6050048828125,81.1303519337733
2015-02-08,"São Paulo - SP",355030,112,91,11,7,2015,106.14411867967,16.921699893165,22.4709716796875,81.0800013567927
2015-02-09,"São Paulo - SP",355030,203,108,15,10,2015,121.060080478704,15.2415105721578,23.5737243652344,80.1648510614476
2015-02-10,"São Paulo - SP",355030,212,151,16,11,2015,198.448887545055,21.2592784857672,24.0845275878906,77.4630178557081
2015-02-11,"São Paulo - SP",355030,219,128,22,12,2015,313.141403770108,35.4566035791019,25.4100280761719,74.7971762543497
2015-02-12,"São Paulo - SP",355030,188,162,16,16,2015,409.448944083124,49.2008377743029,26.4662414550781,71.4107164622912
2015-02-13,"São Paulo - SP",355030,171,148,20,9,2015,331.250428568334,37.8552093375598,24.909814453125,77.222776011909
2015-02-14,"São Paulo - SP",355030,111,127,14,7,2015,265.383723293174,29.0600462212372,23.5482116699219,81.639457423509
2015-02-15,"São Paulo - SP",355030,74,104,9,10,2015,182.724993654422,15.2977828922947,21.8217407226563,87.3579282105934
2015-02-16,"São Paulo - SP",355030,129,148,12,9,2015,107.766238007419,10.8055996742943,21.0608154296875,88.6912632283719
2015-02-17,"São Paulo - SP",355030,116,129,12,9,2015,147.012343632014,21.2893036533046,22.2888122558594,85.0876815410904
2015-02-18,"São Paulo - SP",355030,163,153,19,6,2015,208.152940217587,29.817540140679,21.7447448730469,86.4074843067432
2015-02-19,"São Paulo - SP",355030,194,161,13,11,2015,184.599907508224,23.0708797251585,24.0990234375,74.4736355083376
2015-02-20,"São Paulo - SP",355030,177,147,16,12,2015,227.275440541537,30.6082643675154,24.9546447753906,71.9864849784486
2015-02-21,"São Paulo - SP",355030,96,104,15,3,2015,213.250506438574,29.4351032437135,24.9719482421875,74.7549768038852
2015-02-22,"São Paulo - SP",355030,124,89,14,6,2015,175.845642047534,22.2917607336133,24.079736328125,75.5218520803701
2015-02-23,"São Paulo - SP",355030,192,147,11,10,2015,124.52114598697,16.8598785303213,24.9714904785156,73.391068325248
2015-02-24,"São Paulo - SP",355030,204,141,11,10,2015,183.744063519953,31.9654513229276,24.4163757324219,77.2408209182596
2015-02-25,"São Paulo - SP",355030,176,124,14,8,2015,183.345482203852,26.0359206786613,22.6917663574219,79.1373834872756
2015-02-26,"São Paulo - SP",355030,215,120,20,11,2015,222.497561708224,31.475709742305,23.6850524902344,75.9026237017337
2015-02-27,"São Paulo - SP",355030,149,127,13,10,2015,263.676848059428,31.6973055210686,24.2120910644531,73.9585957962857
2015-02-28,"São Paulo - SP",355030,88,92,8,8,2015,231.811336940761,26.1537712968144,21.9641357421875,84.6750800970828
2015-03-01,"São Paulo - SP",355030,139,119,20,9,2015,78.2100476233912,13.2191543637343,21.3771301269531,80.0191418521655
2015-03-02,"São Paulo - SP",355030,197,152,11,6,2015,66.3374327321738,11.5215676999014,22.0863586425781,72.5743551563413
2015-03-03,"São Paulo - SP",355030,187,163,7,12,2015,82.2315430563473,15.0371661788995,23.0070434570313,76.4191679132094
2015-03-04,"São Paulo - SP",355030,201,170,14,13,2015,104.658970675094,16.267870014038,23.3450256347656,78.6645512539847
2015-03-05,"São Paulo - SP",355030,172,188,8,11,2015,135.818294684971,20.9074964748387,24.005029296875,76.5527082394431
2015-03-06,"São Paulo - SP",355030,165,139,12,8,2015,241.952894460458,33.917639659838,22.8971801757813,82.3864085149844
2015-03-07,"São Paulo - SP",355030,92,140,10,15,2015,239.10262333023,39.7302410230319,21.5830322265625,89.4936191593339
2015-03-08,"São Paulo - SP",355030,106,140,10,18,2015,189.068844728505,29.7363304350521,21.78994140625,86.9373404428256
2015-03-09,"São Paulo - SP",355030,211,182,14,10,2015,167.201600712967,20.0332935425725,21.392236328125,89.782057075853
2015-03-10,"São Paulo - SP",355030,203,171,12,9,2015,269.354870852112,42.769712216284,22.3694702148438,83.6476637172738
2015-03-11,"São Paulo - SP",355030,177,189,14,14,2015,218.625904343147,27.5943348171381,23.0774475097656,80.5545846792197
2015-03-12,"São Paulo - SP",355030,184,209,16,13,2015,367.187122189231,52.0339552186518,22.2482849121094,83.1758795784673
2015-03-13,"São Paulo - SP",355030,176,183,17,6,2015,214.675926220783,33.1366454275894,22.4880615234375,82.3480111483713
2015-03-14,"São Paulo - SP",355030,106,132,15,10,2015,243.528788246294,31.4015125013611,22.6442199707031,84.23588653142
2015-03-15,"São Paulo - SP",355030,123,127,12,11,2015,273.008107380216,39.4404722214858,22.72451171875,84.5612897195711
2015-03-16,"São Paulo - SP",355030,198,207,8,9,2015,307.314517537331,47.0218856444641,22.2206359863281,83.7682256978657
2015-03-17,"São Paulo - SP",355030,193,232,17,11,2015,189.371467248141,26.2002828321783,21.4496398925781,86.1704702915932
2015-03-18,"São Paulo - SP",355030,179,201,14,13,2015,142.992021778809,18.6135305687192,20.9497009277344,88.0822125926415
2015-03-19,"São Paulo - SP",355030,216,214,13,8,2015,147.665417671305,25.7349078343812,21.0228820800781,89.8133601577016
2015-03-20,"São Paulo - SP",355030,150,191,19,7,2015,109.732482656,15.2155538539015,21.1837097167969,88.536406602867
2015-03-21,"São Paulo - SP",355030,126,149,15,9,2015,188.643094626665,34.1813712149512,21.1113525390625,82.9577016362113
2015-03-22,"São Paulo - SP",355030,114,118,12,7,2015,237.425747210788,40.6629242869864,20.0718322753906,91.5063501174387
2015-03-23,"São Paulo - SP",355030,216,216,22,10,2015,91.2133468015478,14.6793575813338,19.8843933105469,83.860272858515
2015-03-24,"São Paulo - SP",355030,207,243,13,16,2015,90.1704950706517,13.2513928718936,20.367822265625,80.721666145448
2015-03-25,"São Paulo - SP",355030,197,202,20,17,2015,77.0721714597282,8.61671363890556,21.3120056152344,78.102593355839
2015-03-26,"São Paulo - SP",355030,200,208,17,11,2015,140.564608841487,24.3057017475697,22.8654418945313,74.5621476995043
2015-03-27,"São Paulo - SP",355030,147,172,8,8,2015,303.618487388727,46.4032439140283,22.7894836425781,74.5135244772476
2015-03-28,"São Paulo - SP",355030,104,149,10,11,2015,233.668875656197,38.7173217930581,22.6762023925781,77.9820995634062
2015-03-29,"São Paulo - SP",355030,82,142,12,6,2015,147.556860952136,18.8604527551206,21.6346374511719,87.1074029968929
2015-03-30,"São Paulo - SP",355030,203,202,14,14,2015,143.051674209952,20.894225608951,22.3601623535156,85.4540207267693
2015-03-31,"São Paulo - SP",355030,184,208,19,13,2015,240.751461433319,36.9247861916241,23.7551818847656,79.6673791585265
2015-04-01,"São Paulo - SP",355030,278,251,17,10,2015,294.49823083875,33.3957791790832,22.35634765625,79.876747179244
2015-04-02,"São Paulo - SP",355030,151,254,14,20,2015,161.336537018997,16.709720126092,20.9316650390625,79.0783610596011
2015-04-03,"São Paulo - SP",355030,105,184,20,21,2015,111.753621467869,14.9355165272406,20.1536804199219,78.0649929613459
2015-04-04,"São Paulo - SP",355030,97,186,12,20,2015,122.179957410632,18.3709939112949,21.829736328125,77.5161333039571
2015-04-05,"São Paulo - SP",355030,121,164,20,11,2015,220.696837989938,32.5801033559022,22.7046447753906,81.6270598056836
2015-04-06,"São Paulo - SP",355030,232,276,10,14,2015,203.718097206244,27.9341539529317,21.5602966308594,84.9391138892208
2015-04-07,"São Paulo - SP",355030,201,217,19,9,2015,84.4780174702464,14.5790555923971,17.6063781738281,85.2985741719632
2015-04-08,"São Paulo - SP",355030,187,219,14,17,2015,77.5349254430087,13.2151676268677,18.6355834960938,75.6716441927272
2015-04-09,"São Paulo - SP",355030,226,234,19,14,2015,93.925478950041,15.5214478307168,19.5194641113281,80.4558845159002
2015-04-10,"São Paulo - SP",355030,147,209,14,15,2015,117.259086588698,20.1544073282397,20.3593078613281,79.2103104890832
2015-04-11,"São Paulo - SP",355030,113,157,14,11,2015,139.38967432144,24.9887746051058,21.1925903320313,75.3940607651658
2015-04-12,"São Paulo - SP",355030,128,186,15,2,2015,210.12146570835,36.3929618292976,20.437158203125,80.9974415760328
2015-04-13,"São Paulo - SP",355030,197,270,22,26,2015,163.712338500469,26.2605543236797,20.4505554199219,82.6117402532796
2015-04-14,"São Paulo - SP",355030,178,292,13,14,2015,134.630478025125,24.3127757926231,21.4320617675781,79.4274477724162
2015-04-15,"São Paulo - SP",355030,188,245,14,11,2015,190.721740030616,33.31185283173,22.0796447753906,80.7327161069178
2015-04-16,"São Paulo - SP",355030,192,250,14,14,2015,326.348152649795,55.469904225447,21.0963684082031,87.9834695246108
2015-04-17,"São Paulo - SP",355030,149,219,18,12,2015,133.511316372884,16.8890350593642,20.9590087890625,82.7528128851137
2015-04-18,"São Paulo - SP",355030,100,164,14,15,2015,157.459358736863,25.1967883594754,22.8173767089844,78.5450547139303
2015-04-19,"São Paulo - SP",355030,88,141,15,20,2015,332.385411638825,51.667996695907,22.4214111328125,88.3674046802572
2015-04-20,"São Paulo - SP",355030,128,201,12,19,2015,276.919545664593,50.5872540893885,23.6679626464844,80.292399325887
2015-04-21,"São Paulo - SP",355030,117,198,17,13,2015,501.336539097489,72.1297534293323,22.961572265625,85.3464220522736
2015-04-22,"São Paulo - SP",355030,196,197,14,10,2015,145.174458528648,16.3191860025336,20.0998474121094,92.8894697375416
2015-04-23,"São Paulo - SP",355030,194,227,14,10,2015,135.872120665681,18.3946437341357,20.725244140625,87.7037876741795
2015-04-24,"São Paulo - SP",355030,162,209,5,17,2015,174.771187744227,31.5369466837486,21.8515563964844,85.5306652955489
2015-04-25,"São Paulo - SP",355030,99,127,17,9,2015,219.183884079636,36.4672700925439,19.110498046875,86.1201108301138
2015-04-26,"São Paulo - SP",355030,97,113,6,11,2015,96.6528167130794,15.9028162490434,18.768212890625,82.9551124901961
2015-04-27,"São Paulo - SP",355030,187,168,20,17,2015,96.5405580662567,19.7355545239475,19.5391174316406,79.9232646583883
2015-04-28,"São Paulo - SP",355030,191,144,16,8,2015,148.640339148187,26.8223070420959,20.4418579101563,79.385011233785
2015-04-29,"São Paulo - SP",355030,163,163,12,7,2015,176.659886127103,31.7358406221047,18.4770446777344,86.7697534551404
2015-04-30,"São Paulo - SP",355030,140,151,15,13,2015,111.043483741469,20.9551031341941,16.5355163574219,90.174824340376
2015-05-01,"São Paulo - SP",355030,119,175,20,11,2015,97.9642867567539,14.3087503327403,16.9118286132813,82.2937719305393
2015-05-02,"São Paulo - SP",355030,105,150,18,15,2015,118.048850102544,17.9164046561671,19.0082946777344,78.5905579298485
